...1,Country,Date,Cum_conf_cases,Cum_susp_cases,Cum_conf_death
735,Liberia,2015-03-26,3151,4572,NA
736,Guinea,2015-03-26,3032,29,1875
737,Sierra Leone,2015-03-26,8529,3050,3398
744,Sierra Leone,2015-03-27,8532,3070,3407
745,Liberia,2015-03-27,3151,4572,NA
746,Guinea,2015-03-27,3042,26,1878
753,Guinea,2015-04-07,3089,12,1919
754,Liberia,2015-04-07,3151,4832,NA
755,Sierra Leone,2015-04-07,8555,3297,3466
762,Guinea,2015-04-09,3093,8,1921
763,Liberia,2015-04-09,3151,4832,NA
764,Sierra Leone,2015-04-09,8558,3310,3475
771,Guinea,2015-04-13,3112,15,1928
772,Liberia,2015-04-13,3151,4832,NA
773,Sierra Leone,2015-04-13,8560,3341,3488
780,Guinea,2015-04-14,3117,17,1932
781,Liberia,2015-04-14,3151,4832,NA
782,Sierra Leone,2015-04-14,8563,3351,3491
789,Guinea,2015-04-15,3117,17,1932
790,Liberia,2015-04-15,3151,5012,NA
791,Sierra Leone,2015-04-15,8563,3351,3491
798,Guinea,2015-04-16,3124,28,1934
799,Liberia,2015-04-16,3151,5012,NA
800,Sierra Leone,2015-04-16,8566,3370,3499
807,Guinea,2015-04-17,3126,29,1937
808,Liberia,2015-04-17,3151,5012,NA
809,Sierra Leone,2015-04-17,8569,3388,3499
816,Guinea,2015-04-20,3133,17,1942
817,Liberia,2015-04-20,3151,5012,NA
818,Sierra Leone,2015-04-20,8572,3397,3506
825,Guinea,2015-04-21,3136,14,1943
826,Liberia,2015-04-21,3151,5012,NA
827,Sierra Leone,2015-04-21,8573,3405,3511
834,Sierra Leone,2015-04-22,8575,3405,3511
835,Guinea,2015-04-22,3136,14,1943
836,Liberia,2015-04-22,3151,5182,NA
843,Guinea,2015-04-23,3144,9,1947
844,Liberia,2015-04-23,3151,5182,NA
845,Sierra Leone,2015-04-23,8581,3426,3519
852,Guinea,2015-04-24,3145,16,1950
853,Liberia,2015-04-24,3151,5182,NA
854,Sierra Leone,2015-04-24,8584,3442,3520
861,Guinea,2015-04-27,3154,16,1959
862,Liberia,2015-04-27,3151,5182,NA
863,Sierra Leone,2015-04-27,8585,3490,3529
870,Guinea,2015-04-28,3158,11,1962
871,Liberia,2015-04-28,3151,5292,NA
872,Sierra Leone,2015-04-28,8586,3498,3533
879,Guinea,2015-04-30,3159,7,1966
880,Liberia,2015-04-30,3151,5292,NA
881,Sierra Leone,2015-04-30,8588,3512,3535
888,Guinea,2015-05-01,3161,2,1968
889,Liberia,2015-05-01,3151,5292,NA
890,Sierra Leone,2015-05-01,8590,3521,3535
897,Guinea,2015-05-04,3163,13,1970
898,Liberia,2015-05-04,3151,5292,NA
899,Sierra Leone,2015-05-04,8592,3547,3536
906,Guinea,2015-05-05,3167,7,1971
907,Liberia,2015-05-05,3151,5477,NA
908,Sierra Leone,2015-05-05,8595,3558,3537
915,Guinea,2015-05-06,3167,7,1971
916,Liberia,2015-05-06,3151,5534,NA
917,Sierra Leone,2015-05-06,8595,3558,3537
924,Guinea,2015-05-07,3170,7,1972
925,Liberia,2015-05-07,3151,5534,NA
926,Sierra Leone,2015-05-07,8597,3586,3538
933,Guinea,2015-05-08,3170,7,1972
934,Liberia,2015-05-08,3151,5534,NA
935,Sierra Leone,2015-05-08,8597,3608,3538
942,Guinea,2015-05-11,3173,11,1976
943,Liberia,2015-05-11,3151,5574,NA
944,Sierra Leone,2015-05-11,8597,3635,3538
951,Guinea,2015-05-12,3174,8,1977
952,Liberia,2015-05-12,3151,5574,NA
953,Sierra Leone,2015-05-12,8597,3639,3538
960,Guinea,2015-05-13,3173,11,1976
961,Liberia,2015-05-13,3151,5574,NA
962,Sierra Leone,2015-05-13,8597,3635,3538
969,Guinea,2015-05-15,3189,11,1982
970,Liberia,2015-05-15,3151,5574,NA
971,Sierra Leone,2015-05-15,8598,3655,3538
980,Guinea,2015-05-14,3187,9,1980
981,Liberia,2015-05-14,3151,5574,NA
982,Sierra Leone,2015-05-14,8597,3652,3538
989,Guinea,2015-05-19,3201,15,1988
990,Liberia,2015-05-19,3151,5636,NA
991,Sierra Leone,2015-05-19,8605,3740,3541
999,Guinea,2015-05-18,3195,12,1986
1000,Liberia,2015-05-18,3151,5636,NA
1001,Sierra Leone,2015-05-18,8603,3703,3540
1010,Guinea,2015-05-20,3201,15,1988
1011,Liberia,2015-05-20,3151,5636,NA
1012,Sierra Leone,2015-05-20,8605,3740,3541
1019,Guinea,2015-05-21,3204,26,1990
1020,Liberia,2015-05-21,3151,5636,NA
1021,Sierra Leone,2015-05-21,8607,3762,3541
1030,Guinea,2015-05-22,3205,23,1993
1031,Liberia,2015-05-22,3151,5636,NA
1032,Sierra Leone,2015-05-22,8608,3771,3541
1039,Guinea,2015-05-26,3210,12,2001
1040,Liberia,2015-05-26,3151,5636,NA
1041,Sierra Leone,2015-05-26,8608,3811,3542
1049,Guinea,2015-05-25,3208,13,1999
1050,Liberia,2015-05-25,3151,5636,NA
1051,Sierra Leone,2015-05-25,8608,3801,3542
1059,Guinea,2015-05-27,3210,12,2001
1060,Liberia,2015-05-27,3151,5636,NA
1061,Sierra Leone,2015-05-27,8608,3811,3542
1069,Guinea,2015-05-28,3214,6,2004
1070,Liberia,2015-05-28,3151,5636,NA
1071,Sierra Leone,2015-05-28,8611,3837,3545
1079,Guinea,2015-05-29,3216,9,2006
1080,Liberia,2015-05-29,3151,5636,NA
1081,Sierra Leone,2015-05-29,8614,3844,3545
1089,Guinea,2015-06-01,3220,14,2009
1090,Liberia,2015-06-01,3151,5636,NA
1091,Sierra Leone,2015-06-01,8618,3911,3545
1100,Guinea,2015-06-02,3223,10,2010
1101,Liberia,2015-06-02,3151,5636,NA
1102,Sierra Leone,2015-06-02,8620,3920,3546
1109,Guinea,2015-06-03,3223,10,2010
1110,Liberia,2015-06-03,3151,5636,NA
1111,Sierra Leone,2015-06-03,8620,3920,3546
1119,Guinea,2015-06-04,3227,11,2012
1120,Liberia,2015-06-04,3151,5636,NA
1121,Sierra Leone,2015-06-04,8623,3940,3546
1130,Guinea,2015-06-05,3228,17,2012
1131,Liberia,2015-06-05,3151,5636,NA
1132,Sierra Leone,2015-06-05,8624,3948,3546
1139,Guinea,2015-06-08,3237,13,2016
1140,Liberia,2015-06-08,3151,5636,NA
1141,Sierra Leone,2015-06-08,8630,3967,3547
1149,Guinea,2015-06-09,3239,12,2018
1150,Liberia,2015-06-09,3151,5636,NA
1151,Sierra Leone,2015-06-09,8635,3979,3549
1159,Liberia,2015-06-10,3151,5636,NA
1160,Sierra Leone,2015-06-10,8635,3979,3549
1162,Guinea,2015-06-10,3239,12,2018
1169,Guinea,2015-06-11,3243,12,2021
1170,Liberia,2015-06-11,3151,5636,NA
1171,Sierra Leone,2015-06-11,8638,3986,3551
1179,Guinea,2015-06-12,3243,15,2021
1180,Liberia,2015-06-12,3151,5636,NA
1181,Sierra Leone,2015-06-12,8647,3998,3551
1189,Guinea,2015-06-15,3249,9,2024
1190,Liberia,2015-06-15,3151,5636,NA
1191,Sierra Leone,2015-06-15,8649,4026,3553
1200,Guinea,2015-06-16,3249,10,2025
1201,Liberia,2015-06-16,3151,5636,NA
1202,Sierra Leone,2015-06-16,8649,4029,3553
1210,Guinea,2015-06-17,3245,10,2025
1211,Liberia,2015-06-17,3151,5636,NA
1212,Sierra Leone,2015-06-17,8649,4029,3553
1219,Guinea,2015-06-18,3246,10,2026
1220,Liberia,2015-06-18,3151,5636,NA
1221,Sierra Leone,2015-06-18,8651,4052,3556
1230,Guinea,2015-06-19,3247,8,2027
1231,Liberia,2015-06-19,3151,5636,NA
1232,Sierra Leone,2015-06-19,8654,4071,3560
1240,Guinea,2015-06-22,3254,16,2028
1241,Liberia,2015-06-22,3151,5636,NA
1242,Sierra Leone,2015-06-22,8657,4107,3562
1249,Guinea,2015-06-23,3257,18,2030
1250,Liberia,2015-06-23,3151,5636,NA
1251,Sierra Leone,2015-06-23,8657,4115,3562
1259,Guinea,2015-06-24,3257,18,2030
1260,Liberia,2015-06-24,3151,5636,NA
1261,Sierra Leone,2015-06-24,8657,4115,3562
1269,Guinea,2015-06-25,3264,11,2037
1270,Liberia,2015-06-25,3151,5636,NA
1271,Sierra Leone,2015-06-25,8660,4136,3565
1279,Guinea,2015-06-26,3266,11,2037
1280,Liberia,2015-06-26,3151,5636,NA
1281,Sierra Leone,2015-06-26,8662,4144,3565
1290,Guinea,2015-06-29,3268,13,2039
1291,Liberia,2015-06-29,3151,5636,NA
1292,Sierra Leone,2015-06-29,8664,4164,3566
1300,Guinea,2015-06-30,3269,17,2039
1301,Liberia,2015-06-30,3151,5636,NA
1302,Sierra Leone,2015-06-30,8665,4167,3566
1309,Guinea,2015-07-01,3269,17,2039
1310,Liberia,2015-07-01,3151,5636,NA
1311,Sierra Leone,2015-07-01,8665,4167,3566
1320,Guinea,2015-07-02,3277,18,2040
1321,Liberia,2015-07-02,3151,5636,NA
1322,Sierra Leone,2015-07-02,8668,4174,3567
1329,Sierra Leone,2015-07-03,8671,4177,3569
1330,Liberia,2015-07-03,3151,5636,NA
1331,Guinea,2015-07-03,3279,21,2042
1340,Guinea,2015-07-06,3287,7,2048
1341,Liberia,2015-07-06,3151,5636,NA
1342,Sierra Leone,2015-07-06,8673,4190,3574
1351,Guinea,2015-07-07,3287,11,2049
1352,Sierra Leone,2015-07-07,8674,4194,3574
1353,Liberia,2015-07-07,3151,5636,NA
1362,Sierra Leone,2015-07-08,8674,4194,3574
1363,Liberia,2015-07-08,3151,5636,NA
1364,Guinea,2015-07-08,3287,11,2049
1373,Guinea,2015-07-09,3290,4,2055
1374,Liberia,2015-07-09,3151,5636,NA
1375,Sierra Leone,2015-07-09,8675,4207,3575
1384,Guinea,2015-07-10,3293,8,2055
1385,Liberia,2015-07-10,3151,5636,NA
1386,Sierra Leone,2015-07-10,8676,4214,3575
1395,Guinea,2015-07-13,3299,5,2056
1396,Liberia,2015-07-13,3151,5636,NA
1397,Sierra Leone,2015-07-13,8687,4227,3580
1406,Guinea,2015-07-14,3300,10,2056
1407,Liberia,2015-07-14,3151,5636,NA
1408,Sierra Leone,2015-07-14,8688,4234,3581
1417,Sierra Leone,2015-07-15,8688,4234,3581
1418,Guinea,2015-07-15,3300,10,2056
1419,Liberia,2015-07-15,3151,5636,NA
1428,Guinea,2015-07-16,3304,8,2056
1429,Liberia,2015-07-16,3151,5636,NA
1430,Sierra Leone,2015-07-16,8688,4234,3581
1439,Guinea,2015-07-17,3310,10,2059
1440,Liberia,2015-07-17,3151,5636,NA
1441,Sierra Leone,2015-07-17,8688,4234,3581
1450,Guinea,2015-07-20,3322,12,2061
1451,Liberia,2015-07-20,3151,5636,NA
1452,Sierra Leone,2015-07-20,8692,4262,3583
1461,Guinea,2015-07-21,3322,11,2062
1462,Liberia,2015-07-21,3151,5636,NA
1463,Sierra Leone,2015-07-21,8692,4271,3583
1472,Guinea,2015-07-22,3322,11,2062
1473,Liberia,2015-07-22,3151,5636,NA
1474,Sierra Leone,2015-07-22,8692,4271,3583
1483,Guinea,2015-07-23,3325,13,2066
1484,Liberia,2015-07-23,3151,5636,NA
1485,Sierra Leone,2015-07-23,8693,4282,3583
1494,Guinea,2015-07-24,3325,11,2066
1495,Liberia,2015-07-24,3151,5636,NA
1496,Sierra Leone,2015-07-24,8693,4284,3583
1505,Guinea,2015-07-27,3325,16,2068
1506,Liberia,2015-07-27,3151,5636,NA
1507,Sierra Leone,2015-07-27,8694,4302,3585
1516,Guinea,2015-07-28,3326,9,2069
1517,Liberia,2015-07-28,3151,5636,NA
1518,Sierra Leone,2015-07-28,8694,4309,3585
1527,Sierra Leone,2015-07-29,8694,4309,3585
1528,Guinea,2015-07-29,3326,9,2069
1529,Liberia,2015-07-29,3151,5636,NA
1538,Sierra Leone,2015-07-30,8694,4398,3585
1539,Liberia,2015-07-30,3151,5636,NA
1540,Guinea,2015-07-30,3326,7,2069
1549,Guinea,2015-07-31,3326,3,2069
1550,Sierra Leone,2015-07-31,8694,4406,3585
1551,Liberia,2015-07-31,3151,5636,NA
1560,Liberia,2015-08-03,3151,5636,NA
1561,Sierra Leone,2015-08-03,8695,4420,3585
1562,Guinea,2015-08-03,3327,7,2070
1571,Liberia,2015-08-04,3151,5636,NA
1572,Sierra Leone,2015-08-04,8695,4424,3585
1573,Guinea,2015-08-04,3327,5,2070
1582,Liberia,2015-08-05,3151,5636,NA
1583,Sierra Leone,2015-08-05,8695,4424,3585
1584,Guinea,2015-08-05,3327,5,2070
1593,Sierra Leone,2015-08-06,8696,4443,3585
1594,Guinea,2015-08-06,3329,11,2072
1595,Liberia,2015-08-06,3151,5636,NA
1604,Liberia,2015-08-07,3151,5636,NA
1605,Sierra Leone,2015-08-07,8696,4445,3585
1606,Guinea,2015-08-07,3329,14,2072
1615,Liberia,2015-08-10,3151,5636,NA
1616,Sierra Leone,2015-08-10,8697,4481,3585
1617,Guinea,2015-08-10,3329,10,2072
1626,Liberia,2015-08-11,3151,5636,NA
1627,Sierra Leone,2015-08-11,8697,4486,3585
1628,Guinea,2015-08-11,3329,6,2072
1637,Guinea,2015-08-12,3329,6,2072
1638,Liberia,2015-08-12,3151,5636,NA
1639,Sierra Leone,2015-08-12,8697,4486,3585
1648,Guinea,2015-08-13,3330,10,2072
1649,Liberia,2015-08-13,3151,5636,NA
1650,Sierra Leone,2015-08-13,8697,4500,3585
1659,Liberia,2015-08-14,3151,5636,NA
1660,Sierra Leone,2015-08-14,8697,4501,3586
1661,Guinea,2015-08-14,3330,9,2072
1670,Guinea,2015-08-17,3332,6,2072
1671,Sierra Leone,2015-08-17,8697,4505,3586
1672,Liberia,2015-08-17,3151,5636,NA
1681,Guinea,2015-08-18,3332,2,2072
1682,Liberia,2015-08-18,3151,5636,NA
1683,Sierra Leone,2015-08-18,8697,4510,3586
1692,Sierra Leone,2015-08-19,8697,4510,3586
1693,Guinea,2015-08-19,3332,2,2072
1694,Liberia,2015-08-19,3151,5636,NA
1703,Liberia,2015-08-20,3151,5636,NA
1704,Sierra Leone,2015-08-20,8697,4534,3586
1705,Guinea,2015-08-20,3334,6,2074
1714,Liberia,2015-08-21,3151,5636,NA
1715,Sierra Leone,2015-08-21,8697,4549,3586
1716,Guinea,2015-08-21,3334,9,2074
1725,Guinea,2015-08-24,3334,4,2075
1726,Liberia,2015-08-24,3151,5636,NA
1727,Sierra Leone,2015-08-24,8697,4554,3586
1736,Guinea,2015-08-25,3335,5,2075
1737,Liberia,2015-08-25,3151,5636,NA
1738,Sierra Leone,2015-08-25,8697,4557,3586
1747,Liberia,2015-08-26,3151,5636,NA
1748,Guinea,2015-08-26,3335,5,2075
1749,Sierra Leone,2015-08-26,8697,4557,3586
1758,Liberia,2015-08-27,3151,5636,NA
